"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Study ID",,,,,,,,,,,,,
trt,demographics,,radio,Treatment,"1, High | 2, Standard | 3, Low | 4, Control",,,,,,,,,,,,
first_name,demographics,"Contact Information",text,"First Name",,,,,,y,,,,,,,
last_name,demographics,,text,"Last Name",,,,,,y,,,,,,,
address,demographics,,notes,"Street, City, State, ZIP",,,,,,y,,,,,,,
telephone,demographics,,text,"Phone number",,"Include Area Code",phone,,,y,,,,,,,
email,demographics,,text,E-mail,,,email,,,y,,,,,,,
dob,demographics,,text,"Date of birth",,,date_ymd,,,y,,,,,,,
age,demographics,,calc,"Age (years)","rounddown(datediff([dob],'today','y'))",,,,,,,,,,,,
ethnicity,demographics,,radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,,LH,,,,
race,demographics,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",,,,,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male",,,,,,,,,,,,
height,demographics,,text,"Height (cm)",,,number,130,215,,,,,,,,
weight,demographics,,text,"Weight (kilograms)",,,integer,35,200,,,,,,,,
bmi,demographics,,calc,BMI,"round(([weight]*10000)/(([height])^(2)),1)",,,,,,,,,,,,
comments,demographics,"General Comments",notes,Comments,,,,,,,,,,,,,
record_id_1ec468,screener,,text,"Record ID",,,,,,,,y,,,,,
scr_lc_diag,screener,,text,"When were you diagnosed with Covid?",,,date_mdy,2020-01-10,today,,,y,,,,,
sym_q1,screener,"Inclusion Criteria",radio,"Tiredness or fatigue that interferes with daily life","1, No | 2, Yes | 3, Yes, 3 months +",,,,,,,y,,,lc_sym,,
sym_q2,screener,,radio,"Symptoms that get worse after physical or mental effort (also known as ""post-exertional malaise"")","1, No | 2, Yes | 3, Yes, 3 months +",,,,,,,y,,,lc_sym,,
sym_q3,screener,,radio,Fever,"1, No | 2, Yes | 3, Yes, 3 months +",,,,,,,y,,,lc_sym,,
